Date,URL
"June 20, 2024 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/June-24-Official-Minutes-General-Board.pdf
"May 30, 2024 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/May-24-Official-Minutes-General-Board.pdf
"April 30, 2024 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/April-24-Official-Minutes-General-Board.pdf
"March 28, 2024 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/March-24-Official-Minutes-General-Board-Meeting.pdf
"February 29, 2024 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/February-24-Official-Minutes-General-Board.pdf
"November 30, 2023 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/November-23-Minutes.pdf
"October 26, 2023 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/October-23-Minutes.pdf
"September 28, 2023 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/September-23-Minutes.pdf
"May 25, 2023 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoardMeeting5-25-23.pdf
"April 27, 2023 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoardMeeting4-27-23.pdf
"March 30, 2023 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoardMeeting3-30-23.pdf
"February 23, 2023 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoardMeeting2-23-23.pdf
"January 26, 2023 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoardMeeting1-26-23.pdf
"January 19, 2023 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoardMeetingSpecial1-19-23.pdf
"December 15, 2022 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoardMeeting12-15-22.pdf
"November 17, 2022 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoardMeeting11-17-22.pdf
"October 27, 2022 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/Full-Board-Minutes-10-17-22.pdf
"September 29, 2022 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoard9.29.22.pdf
"April 28, 2022 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/Full-Board-Apr-2022-Minutes.pdf
"March 31, 2022 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/Full-Board-3-31-22.pdf
"January 27, 2022 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoard-1-27-22.pdf
"December 16, 2021 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoardMeeting12-16-21.pdf
"November 18, 2021 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoardMeeting11-18-21.pdf
"October 28, 2021 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-202110.pdf
"September 30, 2021 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-202109.pdf
"July 14, 2021 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-202107.pdf
"June 24, 2021 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-202106.pdf
"May 27, 2021 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoardMay2021.pdf
"April 29, 2021 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoardApr2021.pdf
"February 25, 2021 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/fullboardmeeting2_25_21.pdf
"January 28, 2021 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/FullBoardMeeting1.28.21.pdf
"December 17, 2020 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoardMeetingMinutesJan2021.pdf
"November 19, 2020 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoardMeetingMinutesNov2020.pdf
"October 29, 2020 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FullBoardMeetingMinutesOct2020.pdf
"October 30, 2019 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/1FBOct2019.pdf
"June 20, 2019 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/Binder11343423424.pdf
"May 23, 2019 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/board_minutes2019.pdf
"March 28, 2019 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/fbminutes3_28_19.pdf
"February 28, 2019 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/fbfeb2019_minutes.pdf
January 31 2019 Minutes,https://www.nyc.gov/assets/bronxcb1/pdf/Binder1.pdf
"June 27, 2018 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/FBJune2018_full.pdf
"October 26, 2017 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-oct2017.pdf
"September 28, 2017 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-sep2017.pdf
"June 29, 2017 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-jun2017.pdf
"April 27, 2017 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-apr2017.pdf
"March 30, 2017 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-mar2017.pdf
"Febuary 23, 2017 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-feb2017.pdf
"January 26, 2017 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-jan2017.pdf
"February 25, 2016 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-feb2016.pdf
"January 28, 2016 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-jan2016.pdf
"December 17, 2015 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-dec2015.pdf
"October 29, 2015 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-oct2015.pdf
"June 26, 2014 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-jun2014.pdf
"May 29, 2014 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-may2014.pdf
"February 26, 2014 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-feb2014.pdf
"January 30, 2014 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-jan2014.pdf
"December 19, 2013 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-dec2013.pdf
"November 21, 2013 Minutes",https://www.nyc.gov/assets/bronxcb1/pdf/minutes/minutes-nov2013.pdf
