Date,URL
January 2024 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2024/03/01-January-2024-Minutes-final-w.record.pdf
February 2024 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2024/03/02-February-2024-Minutes-final-w.record.pdf
March 2024 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2024/12/03-March-2024-Minutes-Final.pdf
April 2024 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2024/12/04-April-2024-Minutes-Final-w.record.pdf
May 2024 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2024/12/05-May-2024-Minutes-Final-w.record.pdf
June 2024 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2024/12/06-June-2024-Minutes-Final-w.record.pdf
July 2024 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2024/12/07-July-2024-Minutes-Final-w.record.pdf
September 2024 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2024/12/09-September-2024-Minutes-Final-w.record.pdf
October 2024 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2024/12/10-October-2024-Minutes-Final-w.record.pdf
November 2024 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2024/12/11-November-2024-Minutes-Final-w.record.pdf
January 2023 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/03/01-January-2023-Minutes-final-w.record.pdf
February 2023 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/03/02-February-2023-Minutes-final-w.record.pdf
March 2023 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/04/03-March-2023-Minutes-Final.pdf
April 2023 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/05/04-April-2023-Minutes-final-w.record.pdf
May 2023 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/06/05-May-2023-Minutes-Final-2.pdf
June 2023 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/10/076-June-2023-Minutes-Final-With-Record.pdf
July 2023 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/10/07-July-2023-Minutes-final-w.record.pdf
September 2023 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/10/09-September-2023-Minutes-final-w.record.pdf
October 2023 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/12/10-October-2023-Minutes-final-w.record.pdf
November 2023 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/12/11-November-2023-Minutes-final-w.record.pdf
December 2023 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2024/01/12-December-2023-Minutes-final-w.record.pdf
January 2022 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/10/01-January-2022-Final-w.record.pdf
February 2022 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/10/02-February-2022-Minutes-Final-w.record.pdf
March 2022 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/10/03-March-2023-Minutes-Final-w.record.pdf
April 2022 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/10/04-CB4-April-2022-Minutes-Final-w.record.pdf
May 2022 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/10/05-May-2022-Minutes-final-w.record.pdf
June 2022 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/10/06-June-2022-Minutes-final-w.record.pdf
July 2022 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/10/07-July-2022-Minutes-final-w.record.pdf
September 2022 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/10/09-September-2022-Minutes-final-w.record.pdf
October 2022 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/10/10-October-2022-Minutes-final-w.record.pdf
November 2022 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/10/11-November-2022-Minutes-final-w.record.pdf
December 2022 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2023/10/12-December-2022-Minute-Final-w.record.pdf
January 2021 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2021/02/January-2021-Full-Board-Minutes-draft-w.record.pdf
February 2021 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2021/03/February-2021-Minutes-final-w.record.pdf
March 2021 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2021/05/March-2021-Minutes-final.record.pdf
April 2021 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2021/05/April-2021-Minutes-final-w.record.pdf
May 2021 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2021/06/05-May-2021-Minutes-final-w.record.pdf
June 2021 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2021/08/06-June-2021-Minutes-final.pdf
July 2021 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2021/12/07-July-2021-Minutes-final-w.record.pdf
October 2021 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2021/12/10-October-2021-Minutes-final-w.record.pdf
November 2021 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2021/12/11-November-2021-Minutes-final-w.record.pdf
December 2021 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2022/01/12-December-2021-Minutes-final-w.record.pdf
January 2020 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2020/05/january-2020-minutes.pdf
February 2020 Minutes,https://cbmanhattan.cityofnewyork.us/cb4/wp-content/uploads/sites/10/2020/10/02-February-2020-Minutes-final-w.record.pdf
